,City,Latitude,Temperature,Cloudiness,Humidity,Wind Speed
561,Kachug,53.96,54.09,0,74,0.6
562,Rodolfo Sánchez Taboada,31.72,70.0,0,71,7.0
563,Flin Flon,54.77,75.2,40,50,9.17
564,Calhoun,42.25,68.81,40,34,4.7
565,Lake Havasu City,34.48,93.65,1,10,12.75
566,Denpasar,-8.65,82.4,40,100,16.11
567,Saint Stephen,50.33,60.66,31,77,5.82
568,Ossora,59.24,54.55,0,56,4.81
569,San Fernando,15.03,78.8,40,88,2.24
570,Sisimiut,66.94,34.34,100,87,8.01
571,Kudahuvadhoo,2.67,84.29,5,79,16.37
572,Fukuechō,32.69,73.62,100,92,11.39
573,Abu Dhabi,24.47,90.39,13,70,6.93
574,Florence,43.77,68.29,7,64,9.17
575,Verrettes,19.05,93.2,20,49,5.82
576,Talcahuano,-36.72,55.4,34,54,10.29
577,Port-Gentil,-0.72,75.2,75,94,10.29
578,Bereket,39.24,94.73,0,10,14.9
579,Sola,-13.88,80.6,75,78,5.82
580,Henties Bay,-22.12,62.01,0,62,1.01
581,Tessalit,20.2,102.04,0,8,13.56
582,Sistranda,63.73,59.0,47,77,10.29
583,Camargo,27.67,87.64,0,15,7.18
584,Plouzané,48.38,60.73,90,82,9.17
585,Hamilton,39.18,71.96,75,53,5.82
586,Labuhan,-6.88,79.21,98,85,8.61
587,Comodoro Rivadavia,-45.87,55.4,80,50,14.99
588,Lishu,43.3,60.48,6,52,9.53
589,Adrar,20.5,103.23,0,12,13.67
590,Mackenzie,55.3,50.0,90,93,4.27
591,Jinchang,38.5,70.97,99,37,6.44
592,Mosetse,-20.75,52.63,0,80,13.35
593,Korla,41.76,72.0,0,37,5.99
594,Caicó,-6.46,87.75,98,50,16.51
595,Udachny,66.42,44.6,26,81,6.71
596,Taltal,-25.4,62.85,30,67,3.76
597,Tateyama,34.98,74.35,100,82,21.43
598,Aksarka,66.56,40.46,80,70,3.06
599,Lufilufi,-13.87,80.2,100,79,22.57
600,Gedangan,-7.39,79.75,99,76,3.2
601,Portel,-1.94,88.27,94,62,2.46
602,Upington,-28.45,44.6,0,22,3.36
603,Akdepe,42.06,82.4,0,30,2.24
